,MATCHUP,PTS,FG%,3P%,FT%,OREB,DREB,AST,STL,BLK,TOV,PF
623,BKN vs. PHX,13.0,12.300000000000004,15.599999999999998,9.399999999999999,-6.0,2.0,5.0,3.0,1.0,0.0,0.0
624,PHI @ IND,-9.0,4.900000000000006,5.800000000000004,-26.599999999999994,-5.0,-2.0,8.0,-6.0,2.0,3.0,16.0
625,IND vs. PHI,9.0,-4.900000000000006,-5.800000000000004,26.599999999999994,5.0,2.0,-8.0,6.0,-2.0,-3.0,-16.0
626,BOS @ DAL,-5.0,-5.699999999999996,7.600000000000001,-4.799999999999997,15.0,6.0,0.0,1.0,-3.0,3.0,2.0
627,DAL vs. BOS,5.0,5.699999999999996,-7.600000000000001,4.799999999999997,-15.0,-6.0,0.0,-1.0,3.0,-3.0,-2.0
628,LAC @ DEN,-10.0,-1.7999999999999972,-0.1999999999999993,7.200000000000003,-3.0,-9.0,0.0,2.0,1.0,-1.0,5.0
629,DEN vs. LAC,10.0,1.7999999999999972,0.1999999999999993,-7.200000000000003,3.0,9.0,0.0,-2.0,-1.0,1.0,-5.0
630,UTA @ SAS,-18.0,-16.599999999999994,-17.0,-2.299999999999997,9.0,-10.0,-12.0,4.0,-2.0,-4.0,-1.0
631,SAS vs. UTA,18.0,16.599999999999994,17.0,2.299999999999997,-9.0,10.0,12.0,-4.0,2.0,4.0,1.0
632,GSW @ POR,1.0,5.700000000000003,-6.199999999999996,-4.900000000000006,-2.0,-5.0,-8.0,1.0,3.0,0.0,13.0
633,POR vs. GSW,-1.0,-5.700000000000003,6.199999999999996,4.900000000000006,2.0,5.0,8.0,-1.0,-3.0,0.0,-13.0
634,CLE @ LAC,-22.0,-9.800000000000004,4.699999999999996,3.299999999999997,6.0,1.0,-13.0,-6.0,-2.0,12.0,-3.0
635,LAC vs. CLE,22.0,9.800000000000004,-4.699999999999996,-3.299999999999997,-6.0,-1.0,13.0,6.0,2.0,-12.0,3.0
636,CHA @ MIL,9.0,15.799999999999997,6.100000000000001,9.0,-9.0,11.0,2.0,-5.0,6.0,8.0,-1.0
637,MIL vs. CHA,-9.0,-15.799999999999997,-6.100000000000001,-9.0,9.0,-11.0,-2.0,5.0,-6.0,-8.0,1.0
638,HOU @ MIA,12.0,7.699999999999996,0.20000000000000284,6.200000000000003,-5.0,2.0,-6.0,1.0,2.0,6.0,4.0
639,MIL vs. CHA,-12.0,-7.699999999999996,-0.20000000000000284,-6.200000000000003,5.0,-2.0,6.0,-1.0,-2.0,-6.0,-4.0
640,SAC @ MIN,10.0,6.600000000000001,-7.299999999999997,4.900000000000006,-4.0,15.0,-7.0,-5.0,2.0,7.0,8.0
641,MIL vs. CHA,-10.0,-6.600000000000001,7.299999999999997,-4.900000000000006,4.0,-15.0,7.0,5.0,-2.0,-7.0,-8.0
642,UTA @ SAS,2.0,-2.0,13.899999999999999,-2.299999999999997,2.0,-11.0,2.0,3.0,-1.0,-8.0,-7.0
643,SAC @ MIN,-2.0,2.0,-13.899999999999999,2.299999999999997,-2.0,11.0,-2.0,-3.0,1.0,8.0,7.0
644,BOS @ NOP,-1.0,-3.6000000000000014,26.200000000000003,-7.400000000000006,1.0,4.0,8.0,-1.0,-1.0,4.0,9.0
645,NOP vs. BOS,1.0,3.6000000000000014,-26.200000000000003,7.400000000000006,-1.0,-4.0,-8.0,1.0,1.0,-4.0,-9.0
646,CHA @ MIL,-3.0,13.799999999999997,9.700000000000003,-1.1000000000000085,-1.0,5.0,3.0,-4.0,3.0,8.0,-1.0
647,MIN vs. SAC,3.0,-13.799999999999997,-9.700000000000003,1.1000000000000085,1.0,-5.0,-3.0,4.0,-3.0,-8.0,1.0
